dataset,loss_type,model,n_params,seed,test_hit@10,test_mrr@10,test_ndcg@10,test_recall@10,timestamp
kuairand_pure,CE,SASRec,564800,2020,0.0785,0.0277,0.0394,0.0785,20260812-160222
kuairand_pure,BPR,HGN,2401088,2020,0.028,0.0104,0.0145,0.028,20260812-160748
kuairand_pure,CE,SASRec,562880,2020,0.0795,0.0279,0.0397,0.0795,20260812-174721
kuairand_pure,BPR,HGN,2399168,2020,0.029,0.0084,0.0131,0.029,20260812-175100
kuairand_pure,BPR,HGRU4Rec,1981248,2020,0.0449,0.0166,0.0232,0.0449,20260812-181006
kuairand_pure_ctx,CE,CAFREC,2050497,2020,0.073,0.0255,0.0364,0.073,20260812-184720
