dir,file,model,seed,train_batch_size,n_users,hr10,coverage,ild_first_level,ild_second_level,ild_kuairand_tag,nocat_first_level,nocat_second_level,nocat_kuairand_tag
modal,CAFREC_kuairand_pure_ctx_div_b2048_seed123_20260916-133813.json,CAFREC,123,2048.0,22912,0.081,0.18862690707350901,0.8358336687088013,0.9194483160972595,0.8090921640396118,0.00012657122905027933,0.20861120810055866,0.001627967877094972
modal,CAFREC_kuairand_pure_ctx_div_b2048_seed2020_20260916-134610.json,CAFREC,2020,2048.0,22912,0.0763,0.18737864077669902,0.8046554327011108,0.8843022584915161,0.7705548405647278,0.0,0.18588512569832402,0.002967877094972067
modal,CAFREC_kuairand_pure_ctx_div_b2048_seed2021_20260916-134631.json,CAFREC,2021,2048.0,22912,0.0789,0.1664355062413315,0.8462038636207581,0.9219778180122375,0.8214282393455505,0.0,0.21237779329608938,0.00390625
modal,CAFREC_kuairand_pure_ctx_div_b2048_seed2048_20260916-104930.json,CAFREC,2048,,22912,0.0783,0.20249653259361997,0.8295323252677917,0.9090743064880371,0.7929245233535767,8.729050279329608e-06,0.19465345670391063,0.006040502793296089
modal,CAFREC_kuairand_pure_ctx_div_b2048_seed2048_20260916-134542.json,CAFREC,2048,2048.0,22912,0.0781,0.19764216366158113,0.8300095200538635,0.906704843044281,0.7954208850860596,6.546787709497207e-05,0.187526187150838,0.005128317039106145
modal,CAFREC_kuairand_pure_ctx_div_b2048_seed256_20260916-104908.json,CAFREC,256,,22912,0.0798,0.1957004160887656,0.8236761093139648,0.9017156958580017,0.7876517176628113,8.729050279329609e-05,0.19940642458100558,0.0036880237430167596
modal,CAFREC_kuairand_pure_ctx_div_b2048_seed256_20260916-134141.json,CAFREC,256,2048.0,22912,0.0801,0.18585298196948682,0.8250417113304138,0.9024024605751038,0.7948011755943298,0.00013966480446927373,0.19293819832402234,0.004181215083798883
modal,CAFREC_kuairand_pure_ctx_div_b2048_seed403092_20260916-134628.json,CAFREC,403092,2048.0,22912,0.0788,0.18945908460471567,0.8279998898506165,0.9116814732551575,0.7971254587173462,0.0,0.20773393854748604,0.001916026536312849
modal,CAFREC_kuairand_pure_ctx_div_b2048_seed42_20260916-104855.json,CAFREC,42,,22912,0.0802,0.1925104022191401,0.8242124319076538,0.9058572053909302,0.7922070026397705,0.0,0.1939464036312849,0.0031991969273743016
modal,CAFREC_kuairand_pure_ctx_div_b2048_seed42_20260916-133741.json,CAFREC,42,2048.0,22912,0.0788,0.18543689320388348,0.8259185552597046,0.9055022597312927,0.798726499080658,0.0,0.1892981843575419,0.004037185754189944
modal,CAFREC_kuairand_pure_ctx_div_b2048_seed512_20260916-104922.json,CAFREC,512,,22912,0.0766,0.19819694868238558,0.8326126933097839,0.9073925614356995,0.7988951206207275,0.0001047486033519553,0.2157995810055866,0.001427199720670391
modal,CAFREC_kuairand_pure_ctx_div_b2048_seed512_20260916-134203.json,CAFREC,512,2048.0,22912,0.0773,0.18876560332871012,0.8368327617645264,0.9099143147468567,0.8084059357643127,1.3093575418994413e-05,0.21844448324022347,0.0015537709497206705
modal,CAFREC_kuairand_pure_ctx_div_b2048_seed77_20260916-104857.json,CAFREC,77,,22912,0.0778,0.18169209431345354,0.8311811685562134,0.9056079387664795,0.7937101125717163,3.491620111731843e-05,0.20293296089385474,0.0030508030726256984
modal,CAFREC_kuairand_pure_ctx_div_b2048_seed77_20260916-133756.json,CAFREC,77,2048.0,22912,0.0795,0.18349514563106797,0.8258021473884583,0.9038921594619751,0.7827626466751099,7.856145251396648e-05,0.18565380586592178,0.002793296089385475
